Что такое «коммуникативный барьер»?,Перерыв в разговоре,"Всё, что препятствует эффективной передаче и восприятию информации",Сложное слово в речи спикера,Отсутствие микрофона,1
К невербальным средствам общения НЕ относится:,Жестикуляция,Интонация голоса,Содержание доклада,Дистанция между говорящими,2
Что из перечисленного чаще всего приводит к недопониманию в переписке,Отсутствие эмодзи,Невозможность передать интонацию и увидеть реакцию,Длинные слова,Использование заглавных букв,1
Что такое «активное слушание»?,Молчаливое согласие с собеседником,Техника отражения эмоций и уточнения информации для точного понимания,Запись слов собеседника в блокнот,Ожидание своей очереди говорить,1
Что такое «эскалация конфликта»?,Быстрое решение проблемы,Перемирие между сторонами,"Ухудшение отношений, усиление агрессивности и нарастание напряженности",Уход от разговора,2
Какой процент информации при личном общении передается через невербальные сигналы (по исследованиям А. Меграбяна)?,Около 10%,Около 30%,Около 55%,Около 93%,3
Что означает понятие «обратная связь» в коммуникации?,Критика действий собеседника,Пересылка письма другому адресату,Запись разговора на диктофон,"Реакция на сообщение, помогающая отправителю оценить эффект от своего сообщения",3
Какой метод наиболее эффективен для улучшения запоминания информации?,Механическое повторение материала 20 раз подряд,Полный отказ от логического анализа,Осмысление информации и перевод её из механической памяти в логическую,Запись всех данных в столбик без пауз,2
"На какой стадии стресса у человека пропадает интерес к происходящему, возникают проблемы со сном и снижается иммунитет?",Стадия тревоги,Стадия сопротивления,Стадия истощения,Стадия адаптации,0
Какой вид деятельности лучше всего подходит для флегматика?,"Работа, связанная с частыми переговорами и новыми людьми","Работа с финансами, расчётами и прогнозированием",Постоянная смена проектов каждый час,"Работа, требующая мгновенной реакции на изменения",1
Что из перечисленного является признаком адекватной самооценки?,Болезненная реакция на любое замечание,Уверенность в своей абсолютной правоте всегда и во всём,Спокойное отношение к критике и знание своих сильных и слабых сторон,Постоянное сравнение себя с другими не в свою пользу,2
"Какое состояние характеризуется кратковременной вспышкой эмоций с полной потерей контроля над сознанием, поведением и речью?",Настроение,Фрустрация,Аффект,Страсть,2
Что такое «саботаж» как командная проблема?,Активное желание помочь,Болезнь сотрудника,Перевыполнение плана,Перевыполнение плана,3
"Что делать в первую очередь, если вы заметили ошибку у коллеги?",Крикнуть об этом на всю комнату,Сообщить начальнику коллеги,"Уточнить контекст и спросить, нужна ли помощь, наедине","Исправить ошибку тайно, без предупреждения",2
"Какой тип мышления склонен к развёрнутому анализу ситуации (например, на вопрос «Какая погода?» даёт подробный анализ)?",Аналитический,Синтетический,Образный,Практический,0
 Что такое внимание в психологии?,Способность запоминать информацию надолго,Процесс направленности и сосредоточения познавательной активности на объекте,Умение выполнять несколько дел одновременно,Эмоциональная реакция на раздражитель,1
Какой процесс НЕ относится к процессам памяти?,Запоминание,Сохранение,Забывание,Торможение,3
Как соотносятся понятия «человек» и «личность»?,Это одно и то же,"Человеком рождаются, личностью становятся","Личностью рождаются, человеком становятся","Человек — это социальное понятие, личность — биологическое",1
Чем отличается произвольное внимание от непроизвольного?,Наличием волевого усилия и цели,Отсутствием объекта внимания,Более быстрым переключением,Более быстрым переключением,0
В каком случае стратегию «Сотрудничество» в конфликте применять НЕ рекомендуется?,Когда есть время и доверие между сторонами,Когда есть обоюдное желание найти лучшее решение,"Когда нужно быстрое решение, а стороны конфликтуют",Когда стороны готовы к открытому диалогу,2
Что такое эустресс?,Отрицательный стресс,Положительный стресс,Отсутствие стрессовой реакции,Хроническое стрессовое напряжение,1
"Какой барьер общения возникает из-за слишком быстрой, невнятной речи или слов-паразитов?",Логический,Семантический,Межъязыковой,Фонетический,3
К какому типу конфликтов относится ситуация «начальник — подчинённый»?,Конфликт по горизонтали,Конфликт по вертикали,Внутриличностный конфликт,Скрытый конфликт,1
Сколько основных стадий стресса выделяют?,2,3,4,5,1
"Если в результате конфликта стороны осознали значимость друг друга и сохранили отношения, такой конфликт по своей функции является…",Деструктивным,Деловым,Конструктивным,Скрытым,2
Какой признак НЕ характерен для человека с адекватной самооценкой?,Спокойная реакция на критику,Знание своих сильных и слабых сторон,Наличие собственных убеждений,Постоянное самолюбование и восхищение собой,3
"Какой тип мышления характерен для человека, который отвечает на вопросы кратко и обобщённо?",Аналитический,Синтетический,Критический,Образный,1
Для представителя какого темперамента характерна болезненная реакция на публичную критику?,Холерик,Сангвиник,Флегматик,Меланхолик,3
Что из перечисленного является недостатком флегматика?,Конфликтность,Быстрая утомляемость,Трудности с адаптацией к новым условиям,Заниженная самооценка,2
В каком случае эффективно использовать стратегию «Уклонение» в конфликте?,Когда результат важен только для одной стороны,Когда эмоциональное напряжение слишком велико и нужна пауза,Когда стороны имеют одинаковые интересы,Когда есть достаточно времени для диалога,1
